Function,Raw Force, Resting Force offset, Compensated Force, External Analog Input, Position, milliseconds
Seeking initial Contact,00001839,00001852,-0000013,00000000,32.2988777161,1468387164914 
Seeking initial Contact,00001842,00001852,-0000010,00000000,32.3129653931,1468387164919 
Seeking initial Contact,00001885,00001852,00000033,00000000,32.3268585205,1468387164925 
Seeking initial Contact,00001881,00001852,00000029,00000000,32.3407478333,1468387164931 
Seeking initial Contact,00001911,00001852,00000059,00000000,32.3555297852,1468387164937 
Seeking initial Contact,00001900,00001852,00000048,00000000,32.3697204590,1468387164943 
Seeking initial Contact,00001879,00001852,00000027,00000000,32.3849983215,1468387164948 
Seeking initial Contact,00001853,00001852,00000001,00000000,32.3990898132,1468387164954 
Seeking initial Contact,00001853,00001852,00000001,00000000,32.4126815796,1468387164960 
Seeking initial Contact,00001886,00001852,00000034,00000000,32.4312362671,1468387164968 
Seeking initial Contact,00001878,00001852,00000026,00000000,32.4481010437,1468387164975 
Seeking initial Contact,00001847,00001852,-0000005,00000000,32.4660606384,1468387164982 
Seeking initial Contact,00001903,00001852,00000051,00000000,32.4822349548,1468387164988 
Seeking initial Contact,00001904,00001852,00000052,00000000,32.4960250854,1468387164994 
Seeking initial Contact,00001918,00001852,00000066,00000000,32.5104103088,1468387165000 
Seeking initial Contact,00001888,00001852,00000036,00000000,32.5260887146,1468387165005 
Seeking initial Contact,00001874,00001852,00000022,00000000,32.5434532166,1468387165013 
Seeking initial Contact,00001937,00001852,00000085,00000000,32.5573425293,1468387165018 
Seeking initial Contact,00001924,00001852,00000072,00000000,32.5711326599,1468387165024 
Seeking initial Contact,00001948,00001852,00000096,00000000,32.5850257874,1468387165030 
Seeking initial Contact,00001912,00001852,00000060,00000000,32.6005020142,1468387165036 
Seeking initial Contact,00001910,00001852,00000058,00000000,32.6144943237,1468387165041 
Seeking initial Contact,00001897,00001852,00000045,00000000,32.6292762756,1468387165047 
Seeking initial Contact,00001913,00001852,00000061,00000000,32.6435623169,1468387165053 
Seeking initial Contact,00001943,00001852,00000091,00000000,32.6573562622,1468387165059 
Seeking initial Contact,00001952,00001852,00000100,00000000,32.6716423035,1468387165064 
Seeking initial Contact,00001984,00001852,00000132,00000000,32.6854324341,1468387165070 
Seeking initial Contact,00001965,00001852,00000113,00000000,32.7005157471,1468387165076 
Seeking initial Contact,00001971,00001852,00000119,00000000,32.7145042419,1468387165082 
Seeking initial Contact,00001933,00001852,00000081,00000000,32.7281990051,1468387165087 
Seeking initial Contact,00001951,00001852,00000099,00000000,32.7421875000,1468387165093 
